Draft Order,Team City,Team Name,Full Team Name,Team Abbr,Cap Space,Effective Cap Space,Active Cap Spending,Dead Money,Cap Space Rank,Effective Cap Space Rank,Active Cap Spending Rank,Dead Money Rank
3,Arizona,Cardinals,Arizona Cardinals,ARI,42187426,30663033,274012155,3934104,12,13,19,14
48,Atlanta,Falcons,Atlanta Falcons,ATL,26462519,24638551,278755644,2235354,15,15,17,13
14,Baltimore,Ravens,Baltimore Ravens,BAL,22043387,13370416,279554158,12262715,17,18,16,20
26,Buffalo,Bills,Buffalo Bills,BUF,-7449001,-11553061,310227823,432166,26,25,6,5
19,Carolina,Panthers,Carolina Panthers,CAR,14437004,9552110,290819573,9341094,19,19,13,19
25,Chicago,Bears,Chicago Bears,CHI,-5300354,-9492768,316976069,542993,24,24,5,9
10,Cincinnati,Bengals,Cincinnati Bengals,CIN,54504672,47378106,253492416,4748222,7,7,26,16
6,Cleveland,Browns,Cleveland Browns,CLE,3210721,-9062737,294358677,31763848,21,23,9,26
12,Dallas,Cowboys,Dallas Cowboys,DAL,-29168257,-36673481,333651367,24344177,30,30,3,25
30,Denver,Broncos,Denver Broncos,DEN,28885734,24848957,276377391,1218922,14,14,18,11
17,Detroit,Lions,Detroit Lions,DET,-8531146,-13239369,327944798,4358290,27,26,4,15
20,Green Bay,Packers,Green Bay Packers,GB,-1436657,-3227425,297096029,17165048,22,21,7,21
28,Houston,Texans,Houston Texans,HOU,-1498295,-7337447,292861079,20922780,23,22,11,23
16,Indianapolis,Colts,Indianapolis Colts,IND,35598489,33584759,268433497,2093644,13,12,21,12
56,Jacksonville,Jaguars,Jacksonville Jaguars,JAX,-11433472,-13918041,279610798,43863713,28,28,15,29
9,Kansas City,Chiefs,Kansas City Chiefs,KC,-54910166,-62305065,358576941,215641,32,32,1,1
22,Los Angeles,Chargers,Los Angeles Chargers,LAC,83542941,79237966,223098367,478177,3,2,29,6
13,Los Angeles,Rams,Los Angeles Rams,LAR,48214355,40769897,266058212,700524,8,8,23,10
1,Las Vegas,Raiders,Las Vegas Raiders,LV,91522807,76991010,189413472,34812266,2,3,31,27
11,Miami,Dolphins,Miami Dolphins,MIA,-16413613,-23746987,291731923,35500637,29,29,12,28
18,Minnesota,Vikings,Minnesota Vikings,MIN,-40156353,-45185362,351724552,5608074,31,31,2,17
31,New England,Patriots,New England Patriots,NE,42735263,37729739,290735831,20790382,11,11,14,22
8,New Orleans,Saints,New Orleans Saints,NO,-6037060,-13634819,261530600,65798682,25,27,24,31
5,New York,Giants,New York Giants,NYG,6947721,-3151579,296689591,216804,20,20,8,2
2,New York,Jets,New York Jets,NYJ,83263050,67378542,167404312,75621438,4,5,32,32
23,Philadelphia,Eagles,Philadelphia Eagles,PHI,20557388,15463440,250816635,44804213,18,17,27,30
21,Pittsburgh,Steelers,Pittsburgh Steelers,PIT,44943582,39307535,267058786,7934338,9,9,22,18
32,Seattle,Seahawks,Seattle Seahawks,SEA,72284461,62022564,244166022,483723,6,6,28,7
27,San Francisco,49ers,San Francisco 49ers,SF,42950176,38552959,269621623,21863741,10,10,20,24
15,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,TB,23828710,18268258,293252073,255591,16,16,10,4
4,Tennessee,Titans,Tennessee Titans,TEN,104769062,93334968,220791308,535658,1,1,30,8
7,Washington,Commanders,Washington Commanders,WAS,76041469,69297314,255706956,248312,5,4,25,3
